"reservation_id","room_id","employee_id","goal_id","travel_agency_id","client_id","arrival_date","departure_date"
50,368,15,3,1,579,"2016-04-08","2016-04-27"
51,174,9,5,1,595,"2018-02-06","2018-02-16"
52,365,4,4,1,164,"2018-06-13","2018-06-25"
53,196,8,2,1,125,"2018-06-05","2018-06-16"
54,102,1,3,1,822,"2017-09-10","2017-09-16"
55,227,10,2,1,571,"2017-03-26","2017-04-09"
56,206,6,1,1,197,"2018-06-09","2018-06-12"
57,88,14,2,1,516,"2017-12-02","2017-12-30"
58,440,1,2,1,103,"2017-08-12","2017-09-01"
59,108,12,4,1,665,"2016-08-26","2016-09-12"
60,393,3,2,1,175,"2017-03-31","2017-04-15"
61,50,2,4,1,655,"2015-02-16","2015-03-08"
62,123,3,4,1,919,"2018-01-18","2018-01-31"
63,360,2,5,1,219,"2016-10-26","2016-11-07"
64,422,11,1,1,24,"2016-07-23","2016-08-22"
65,72,15,3,1,280,"2017-06-07","2017-06-15"
66,3,6,5,1,66,"2017-12-13","2017-12-28"
67,385,6,4,1,460,"2018-06-19","2018-06-20"
68,125,10,5,1,21,"2018-09-17","2018-10-05"
69,334,4,5,1,52,"2017-07-15","2017-08-15"
70,248,11,2,1,873,"2016-04-26","2016-05-19"
71,43,7,5,1,814,"2016-01-16","2016-02-10"
72,474,2,2,1,612,"2017-05-19","2017-06-05"
73,342,2,5,1,37,"2016-11-10","2016-11-21"
74,47,3,2,1,289,"2016-05-15","2016-06-01"
75,5,14,3,1,448,"2015-05-26","2015-05-30"
76,429,3,2,1,33,"2015-04-08","2015-05-01"
77,147,9,5,1,21,"2018-06-14","2018-07-09"
78,274,12,4,1,3,"2018-07-17","2018-07-29"
79,135,5,5,1,301,"2018-05-18","2018-06-16"
80,231,6,3,1,355,"2016-04-18","2016-05-18"
81,333,7,5,1,225,"2018-09-16","2018-09-26"
82,484,9,5,1,901,"2016-01-24","2016-02-04"
83,473,15,4,1,524,"2017-11-30","2017-12-01"
84,470,2,4,1,59,"2018-04-02","2018-04-23"
85,4,1,1,1,771,"2018-04-19","2018-05-06"
86,290,8,4,1,267,"2015-08-25","2015-09-12"
87,219,4,3,1,256,"2016-07-31","2016-08-03"
88,66,6,4,1,667,"2018-01-08","2018-01-27"
89,260,10,3,1,449,"2017-12-29","2018-01-19"
90,39,16,5,1,551,"2015-04-09","2015-04-30"
91,160,7,1,1,908,"2018-08-09","2018-09-07"
92,373,2,5,1,635,"2016-04-28","2016-05-27"
93,163,14,3,1,641,"2016-08-18","2016-08-20"
94,172,3,4,1,599,"2015-05-22","2015-06-11"
95,461,14,2,1,235,"2017-03-26","2017-04-24"
96,143,11,3,1,141,"2017-05-22","2017-06-07"
97,305,9,1,1,586,"2018-08-26","2018-09-17"
98,290,5,4,1,667,"2017-05-12","2017-05-22"
99,284,2,3,1,170,"2018-08-07","2018-08-20"
100,372,16,1,1,707,"2018-06-01","2018-06-15"
101,361,11,5,1,773,"2015-04-19","2015-04-26"
102,166,11,5,1,805,"2017-02-28","2017-02-28"
103,435,10,5,1,919,"2017-05-31","2017-06-04"
104,204,5,3,1,532,"2017-01-09","2017-02-03"
105,104,16,2,1,872,"2017-01-02","2017-01-08"
106,376,15,2,1,613,"2018-09-07","2018-10-06"
107,479,6,2,1,635,"2015-05-25","2015-06-11"
108,483,16,2,1,44,"2015-04-05","2015-04-11"
109,171,2,3,1,16,"2018-03-06","2018-03-25"
110,309,3,3,1,382,"2015-05-27","2015-06-26"
111,8,13,3,1,1,"2016-12-18","2016-12-24"
112,35,6,5,1,640,"2018-03-15","2018-03-28"
113,466,3,3,1,455,"2018-02-23","2018-03-12"
114,468,1,5,1,551,"2015-07-03","2015-07-07"
115,93,5,1,1,640,"2017-11-17","2017-11-24"
116,238,5,5,1,841,"2017-09-07","2017-09-27"
117,46,16,1,1,855,"2015-07-22","2015-08-03"
118,144,7,2,1,648,"2015-05-08","2015-05-20"
119,390,1,2,1,673,"2015-03-18","2015-04-09"
120,205,2,4,1,38,"2016-03-04","2016-03-17"
121,29,9,1,1,257,"2018-02-25","2018-03-21"
122,44,4,2,1,694,"2017-02-12","2017-02-16"
123,301,5,3,1,784,"2018-06-03","2018-06-08"
124,254,7,2,1,310,"2015-09-18","2015-09-23"
125,306,7,3,1,890,"2017-02-20","2017-03-11"
126,192,16,1,1,711,"2015-02-04","2015-02-24"
127,75,12,5,1,897,"2017-04-04","2017-04-17"
128,18,2,5,1,675,"2018-04-11","2018-04-15"
129,406,7,4,1,410,"2015-10-24","2015-10-24"
130,226,13,4,1,746,"2016-04-01","2016-04-11"
131,17,15,2,1,690,"2015-08-01","2015-08-11"
132,439,12,5,1,454,"2017-11-16","2017-12-11"
133,56,1,4,1,517,"2016-10-14","2016-11-05"
134,153,9,1,1,778,"2015-02-20","2015-03-10"
135,22,7,1,1,327,"2016-06-11","2016-06-23"
136,304,7,2,1,14,"2016-08-14","2016-09-05"
137,318,16,2,1,377,"2018-09-20","2018-09-22"
138,490,16,5,1,753,"2016-04-11","2016-04-11"
139,307,14,5,1,442,"2018-01-15","2018-02-02"
140,59,15,5,1,441,"2015-06-07","2015-06-09"
141,131,16,3,1,110,"2016-08-14","2016-09-05"
142,293,8,2,1,700,"2015-03-24","2015-04-08"
143,309,4,4,1,180,"2016-02-18","2016-02-18"
144,204,6,4,1,11,"2017-11-15","2017-11-27"
145,107,2,4,1,818,"2016-04-19","2016-04-25"
146,322,4,2,1,921,"2015-03-21","2015-03-24"
147,105,15,1,1,751,"2017-06-08","2017-06-09"
148,96,3,3,1,812,"2018-08-03","2018-08-21"
149,82,8,4,1,711,"2018-09-25","2018-10-19"
150,411,5,5,1,831,"2016-11-12","2016-11-28"
151,50,16,1,1,155,"2016-05-10","2016-05-13"
152,19,3,5,1,98,"2016-02-02","2016-02-03"
153,178,9,4,1,603,"2018-03-21","2018-04-11"
154,340,6,4,1,616,"2016-10-20","2016-10-31"
155,377,1,2,1,84,"2017-09-25","2017-09-25"
156,60,14,3,1,58,"2018-02-13","2018-03-06"
157,369,13,2,1,370,"2016-10-05","2016-10-20"
158,84,9,3,1,539,"2016-07-21","2016-08-07"
159,297,12,3,1,3,"2018-08-10","2018-08-13"
160,183,11,5,1,398,"2017-05-31","2017-06-18"
161,42,13,5,1,599,"2017-11-21","2017-12-20"
162,368,14,3,1,635,"2017-05-31","2017-06-09"
163,500,15,1,1,204,"2018-09-07","2018-09-22"
164,190,6,5,1,29,"2018-01-22","2018-02-08"
165,98,7,4,1,900,"2015-09-16","2015-09-26"
166,167,5,1,1,614,"2016-01-07","2016-01-08"
167,257,16,1,1,472,"2016-05-12","2016-06-08"
168,443,6,3,1,852,"2016-11-16","2016-12-16"
169,469,6,5,1,127,"2017-12-21","2017-12-30"
170,348,11,1,1,590,"2016-03-12","2016-03-23"
171,283,5,3,1,407,"2017-05-16","2017-05-20"
172,336,13,1,1,632,"2018-08-07","2018-08-17"
173,159,4,1,1,209,"2017-03-30","2017-04-20"
174,16,10,2,1,263,"2017-07-24","2017-08-17"
175,70,16,3,1,325,"2017-09-21","2017-10-08"
176,241,10,5,1,255,"2015-09-18","2015-09-28"
177,433,8,2,1,585,"2017-07-05","2017-07-06"
178,362,7,2,1,229,"2017-09-05","2017-09-30"
179,321,16,5,1,602,"2015-07-11","2015-07-14"
180,45,16,1,1,68,"2018-09-20","2018-10-12"
181,382,13,3,1,533,"2016-12-20","2017-01-16"
182,379,13,5,1,199,"2015-12-06","2016-01-04"
183,123,13,4,1,679,"2015-11-23","2015-12-02"
184,174,1,3,1,606,"2018-02-15","2018-02-24"
185,345,8,5,1,399,"2017-05-27","2017-06-23"
186,13,6,4,1,571,"2016-11-03","2016-11-26"
187,352,13,1,1,924,"2015-06-02","2015-06-03"
188,4,5,5,1,936,"2016-05-22","2016-06-17"
189,404,8,4,1,943,"2016-04-24","2016-05-10"
190,462,2,5,1,668,"2015-09-26","2015-09-26"
191,14,7,5,1,636,"2016-09-28","2016-10-26"
192,413,15,3,1,51,"2017-03-04","2017-04-03"
193,266,2,4,1,835,"2015-05-20","2015-05-22"
194,420,1,4,1,106,"2017-10-04","2017-10-06"
195,258,3,3,1,557,"2016-11-16","2016-12-06"
196,209,13,4,1,310,"2016-12-26","2017-01-04"
197,307,10,1,1,228,"2018-04-10","2018-04-26"
198,163,4,1,1,362,"2016-08-10","2016-08-28"
199,331,12,1,1,27,"2018-06-21","2018-07-06"
200,360,12,2,1,559,"2015-08-17","2015-08-21"
201,171,9,5,1,321,"2017-02-16","2017-03-10"
202,66,10,4,1,184,"2015-05-04","2015-05-31"
203,317,15,5,1,260,"2015-11-12","2015-11-29"
204,226,6,3,1,764,"2017-12-10","2017-12-18"
205,356,5,5,1,674,"2016-09-17","2016-10-14"
206,482,11,4,1,502,"2017-10-06","2017-10-21"
207,231,5,2,1,156,"2017-08-23","2017-09-05"
208,36,14,3,1,742,"2017-05-06","2017-05-15"
209,301,14,5,1,129,"2016-01-23","2016-01-26"
210,450,3,3,1,113,"2018-01-27","2018-02-12"
211,472,9,1,1,123,"2017-02-05","2017-02-16"
212,253,11,3,1,926,"2018-02-01","2018-02-08"
213,351,6,3,1,524,"2017-04-09","2017-04-12"
214,378,12,1,1,416,"2018-06-08","2018-06-23"
215,371,15,3,1,323,"2017-06-04","2017-06-21"
216,63,14,4,1,451,"2016-11-17","2016-12-07"
217,309,7,1,1,920,"2015-03-31","2015-04-24"
218,276,3,3,1,475,"2018-06-09","2018-07-05"
219,223,3,3,1,901,"2016-07-13","2016-08-04"
220,277,10,2,1,419,"2018-05-11","2018-06-11"
221,365,11,5,1,621,"2017-06-06","2017-06-30"
222,157,12,5,1,52,"2016-01-05","2016-01-15"
223,376,14,2,1,894,"2016-11-17","2016-12-07"
224,447,7,3,1,446,"2017-07-02","2017-07-08"
225,339,6,2,1,89,"2017-06-20","2017-07-11"
226,156,1,4,1,338,"2015-11-28","2015-12-16"
227,487,8,4,1,647,"2016-01-18","2016-02-11"
228,8,2,4,1,574,"2017-10-27","2017-11-22"
229,191,11,3,1,488,"2018-01-28","2018-02-24"
230,383,15,4,1,183,"2015-12-23","2015-12-29"
231,373,16,4,1,141,"2016-01-27","2016-02-04"
232,94,1,2,1,723,"2015-10-12","2015-11-11"
233,369,7,4,1,438,"2016-09-16","2016-09-20"
234,60,2,3,1,452,"2017-12-15","2018-01-04"
235,123,13,1,1,699,"2016-12-23","2016-12-24"
236,312,11,3,1,542,"2018-07-22","2018-08-18"
237,7,12,5,1,224,"2017-06-30","2017-07-10"
238,42,9,5,1,287,"2016-12-30","2017-01-05"
239,252,2,5,1,477,"2018-05-16","2018-05-20"
240,297,9,4,1,475,"2018-09-23","2018-10-08"
241,351,11,1,1,930,"2016-03-11","2016-03-21"
242,154,6,1,1,504,"2015-12-10","2015-12-16"
243,230,14,5,1,369,"2017-11-16","2017-12-07"
244,186,10,3,1,832,"2015-10-24","2015-11-12"
245,495,6,2,1,172,"2017-09-24","2017-10-13"
246,437,11,1,1,758,"2018-04-21","2018-05-10"
247,230,12,1,1,456,"2016-06-26","2016-07-09"
248,131,9,3,1,140,"2017-10-11","2017-11-11"
249,363,10,1,1,734,"2015-09-02","2015-09-16"
250,228,16,5,1,463,"2015-03-08","2015-04-01"
251,247,4,2,1,945,"2018-02-14","2018-03-14"
252,107,1,3,1,747,"2017-10-16","2017-10-21"
253,442,1,2,1,233,"2015-05-01","2015-05-04"
254,29,8,3,1,28,"2017-03-26","2017-04-22"
255,437,13,4,1,430,"2015-12-17","2015-12-28"
256,496,2,1,1,593,"2016-11-29","2016-12-23"
257,450,3,2,1,250,"2015-05-02","2015-05-07"
258,12,3,3,1,211,"2015-12-17","2015-12-20"
259,7,9,3,1,859,"2016-02-01","2016-02-22"
260,408,16,1,1,291,"2016-05-31","2016-06-07"
261,116,15,4,1,867,"2015-05-24","2015-05-24"
262,201,1,4,1,845,"2015-07-09","2015-07-28"
263,218,6,5,1,638,"2016-10-09","2016-10-15"
264,187,5,2,1,564,"2016-06-07","2016-06-29"
265,363,11,5,1,603,"2017-08-20","2017-09-11"
266,166,7,4,1,841,"2016-08-23","2016-08-28"
267,145,6,4,1,608,"2016-05-08","2016-05-18"
268,400,10,3,1,167,"2015-12-26","2016-01-18"
269,11,12,3,1,567,"2017-12-03","2017-12-24"
270,444,1,4,1,69,"2015-10-13","2015-11-02"
271,156,1,2,1,164,"2018-08-10","2018-08-10"
272,177,4,2,1,927,"2015-10-19","2015-11-07"
273,416,10,2,1,110,"2017-09-26","2017-10-26"
274,255,7,1,1,364,"2015-04-06","2015-04-08"
275,390,8,3,1,352,"2017-01-12","2017-01-21"
276,113,9,5,1,22,"2016-04-26","2016-04-30"
277,160,7,4,1,874,"2017-05-10","2017-05-31"
278,73,4,1,1,271,"2016-08-09","2016-08-14"
279,422,4,1,1,862,"2018-06-16","2018-06-24"
280,213,15,1,1,846,"2016-07-29","2016-08-26"
281,72,5,3,1,629,"2015-10-07","2015-10-24"
282,364,9,3,1,545,"2016-11-01","2016-11-25"
283,15,8,5,1,419,"2016-07-05","2016-07-23"
284,42,16,3,1,725,"2015-04-18","2015-04-22"
285,212,15,3,1,600,"2015-03-04","2015-03-28"
286,471,3,3,1,577,"2016-06-15","2016-06-29"
287,133,1,4,1,537,"2016-10-24","2016-11-20"
288,416,4,4,1,319,"2015-06-11","2015-06-29"
289,113,8,5,1,27,"2018-08-11","2018-08-25"
290,182,7,2,1,784,"2018-04-30","2018-05-21"
291,103,9,3,1,28,"2015-03-01","2015-03-02"
292,142,4,5,1,159,"2018-08-22","2018-09-01"
293,464,12,4,1,166,"2016-09-14","2016-09-14"
294,325,1,1,1,184,"2018-04-12","2018-05-10"
295,357,4,2,1,5,"2015-03-31","2015-04-24"
296,94,7,4,1,316,"2015-05-15","2015-06-15"
297,293,7,5,1,874,"2017-11-07","2017-11-21"
298,388,16,4,1,694,"2016-06-24","2016-07-18"
299,356,6,5,1,628,"2016-07-05","2016-08-02"
300,371,8,2,1,774,"2017-05-11","2017-06-06"
301,393,12,4,1,703,"2017-10-10","2017-11-09"
302,127,7,3,1,762,"2016-10-03","2016-10-27"
303,273,16,4,1,527,"2017-11-10","2017-12-08"
304,414,4,4,1,126,"2016-08-24","2016-08-29"
305,249,11,4,1,610,"2016-07-24","2016-07-25"
306,130,11,4,1,358,"2016-05-01","2016-05-01"
307,299,16,5,1,855,"2017-10-26","2017-11-16"
308,354,10,1,1,109,"2017-06-03","2017-06-06"
309,132,11,1,1,448,"2015-10-28","2015-11-26"
310,212,7,1,1,422,"2017-05-18","2017-05-22"
311,291,9,4,1,668,"2016-04-11","2016-05-03"
312,289,7,2,1,441,"2016-05-15","2016-05-18"
313,478,14,4,1,843,"2018-01-04","2018-01-19"
314,129,8,2,1,490,"2017-02-17","2017-02-28"
315,57,10,5,1,3,"2017-01-04","2017-01-20"
316,327,11,3,1,703,"2018-01-23","2018-01-31"
317,258,10,3,1,261,"2017-07-11","2017-07-15"
318,198,8,5,1,142,"2015-08-15","2015-09-14"
319,299,16,5,1,312,"2015-09-19","2015-10-15"
320,380,16,5,1,734,"2015-08-01","2015-08-20"
321,57,12,4,1,879,"2017-06-04","2017-06-04"
322,244,11,5,1,903,"2017-09-24","2017-10-13"
323,278,12,1,1,651,"2015-03-01","2015-03-11"
324,289,5,3,1,330,"2018-05-06","2018-05-07"
325,281,5,4,1,772,"2015-11-06","2015-11-08"
326,332,15,5,1,284,"2016-04-01","2016-04-01"
327,454,8,3,1,918,"2016-04-18","2016-04-20"
328,111,1,4,1,543,"2015-10-30","2015-11-05"
329,246,14,1,1,281,"2017-09-04","2017-09-19"
330,18,4,2,1,902,"2017-08-24","2017-09-12"
331,215,13,2,1,297,"2016-02-28","2016-03-20"
332,448,5,2,1,807,"2016-10-13","2016-10-17"
333,35,4,4,1,949,"2017-08-01","2017-08-30"
334,291,16,3,1,399,"2015-05-02","2015-05-17"
335,363,10,1,1,46,"2016-02-05","2016-02-12"
336,495,9,3,1,759,"2015-09-17","2015-10-11"
337,106,9,1,1,331,"2015-12-17","2016-01-02"
338,344,7,5,1,55,"2017-07-25","2017-07-30"
339,32,12,2,1,25,"2018-04-10","2018-04-24"
340,24,6,5,1,647,"2018-07-23","2018-08-08"
341,384,13,1,1,143,"2018-05-05","2018-05-20"
342,446,7,4,1,189,"2016-07-18","2016-07-30"
343,282,16,5,1,223,"2015-11-07","2015-11-12"
344,261,7,2,1,452,"2015-04-22","2015-05-01"
345,161,14,5,1,727,"2017-04-02","2017-04-19"
346,363,5,1,1,4,"2017-07-15","2017-08-05"
347,52,1,3,1,200,"2015-10-06","2015-11-05"
348,130,13,3,1,418,"2016-02-25","2016-03-16"
349,140,10,1,1,472,"2018-09-03","2018-09-29"
350,112,8,1,1,164,"2018-05-25","2018-05-31"
351,214,15,3,1,325,"2015-02-05","2015-02-23"
352,139,12,5,1,223,"2015-04-30","2015-04-30"
353,453,14,1,1,545,"2016-08-20","2016-08-28"
354,70,13,1,1,638,"2017-03-04","2017-03-19"
355,141,10,5,1,474,"2016-10-31","2016-11-05"
356,49,3,4,1,198,"2016-03-09","2016-03-21"
357,168,12,3,1,529,"2016-06-04","2016-06-04"
358,94,6,4,1,118,"2015-07-11","2015-07-31"
359,157,8,4,1,595,"2017-08-12","2017-08-26"
360,298,8,2,1,8,"2018-09-20","2018-10-06"
361,163,4,2,1,209,"2018-03-06","2018-03-19"
362,100,13,5,1,901,"2016-01-18","2016-01-30"
363,54,12,5,1,497,"2018-03-08","2018-03-23"
364,398,9,5,1,42,"2017-01-30","2017-02-05"
365,167,15,3,1,229,"2016-07-11","2016-07-30"
366,223,13,4,1,206,"2018-04-07","2018-05-07"
367,80,16,5,1,264,"2015-06-07","2015-06-29"
368,252,7,4,1,444,"2017-10-14","2017-10-28"
369,340,4,4,1,110,"2016-05-28","2016-06-03"
370,422,5,1,1,885,"2018-05-06","2018-05-06"
371,223,14,5,1,684,"2015-11-29","2015-12-26"
372,444,1,5,1,542,"2016-11-20","2016-12-15"
373,424,9,2,1,300,"2017-02-03","2017-02-25"
374,170,10,1,1,410,"2017-06-03","2017-06-05"
375,99,5,2,1,161,"2016-11-25","2016-11-27"
376,148,10,1,1,643,"2017-09-21","2017-10-04"
377,308,9,4,1,155,"2016-05-13","2016-05-28"
378,149,8,3,1,296,"2015-06-06","2015-06-06"
379,1,16,2,1,451,"2017-12-14","2017-12-30"
380,179,16,2,1,300,"2015-10-26","2015-10-28"
381,420,1,4,1,29,"2015-06-07","2015-06-17"
382,184,9,2,1,500,"2016-10-08","2016-10-21"
383,193,7,1,1,244,"2015-09-17","2015-10-01"
384,265,13,3,1,228,"2018-05-24","2018-06-20"
385,462,10,4,1,443,"2015-08-23","2015-08-26"
386,97,2,5,1,653,"2018-02-26","2018-03-11"
387,241,15,3,1,707,"2018-02-16","2018-03-05"
388,120,4,1,1,111,"2016-08-30","2016-09-26"
389,301,10,1,1,903,"2017-10-21","2017-11-20"
390,35,13,1,1,68,"2018-08-08","2018-08-20"
391,421,16,2,1,738,"2017-01-28","2017-02-14"
392,342,13,3,1,131,"2017-07-08","2017-07-13"
393,60,12,4,1,416,"2016-11-21","2016-12-12"
394,381,11,5,1,392,"2015-12-18","2015-12-22"
395,22,11,5,1,817,"2015-06-19","2015-07-07"
396,215,6,4,1,415,"2016-09-19","2016-10-15"
397,310,16,4,1,366,"2018-06-22","2018-07-11"
398,29,9,2,1,252,"2017-04-26","2017-05-05"
399,96,9,2,1,611,"2016-08-03","2016-09-01"
400,475,13,5,1,680,"2018-05-30","2018-06-06"
401,246,8,2,1,804,"2017-01-28","2017-02-27"
402,8,5,5,1,706,"2015-10-16","2015-11-01"
403,190,15,3,1,922,"2018-09-05","2018-10-03"
404,268,7,1,1,656,"2018-05-06","2018-05-06"
405,204,11,4,1,522,"2017-11-05","2017-11-21"
406,150,10,5,1,98,"2016-07-16","2016-08-07"
407,343,10,4,1,924,"2017-01-22","2017-01-31"
408,485,14,5,1,128,"2016-11-29","2016-12-23"
409,376,3,5,1,615,"2016-12-29","2017-01-24"
410,383,15,2,1,102,"2018-08-09","2018-08-12"
411,436,8,4,1,857,"2015-07-29","2015-08-04"
412,264,8,2,1,606,"2018-06-15","2018-06-26"
413,233,13,3,1,49,"2015-09-08","2015-09-25"
414,282,8,1,1,213,"2018-08-24","2018-09-11"
415,278,1,2,1,112,"2015-10-07","2015-10-30"
416,206,5,3,1,708,"2015-04-05","2015-04-06"
417,405,13,1,1,457,"2018-04-20","2018-05-04"
418,200,13,2,1,188,"2018-06-14","2018-07-10"
419,197,9,2,1,311,"2015-09-23","2015-10-19"
420,177,7,4,1,298,"2015-01-29","2015-01-29"
421,432,14,4,1,537,"2016-11-09","2016-11-16"
422,430,6,2,1,451,"2017-06-05","2017-06-19"
423,155,7,2,1,113,"2016-02-29","2016-02-29"
424,435,15,3,1,800,"2017-01-22","2017-01-29"
425,219,10,3,1,140,"2018-01-14","2018-02-12"
426,222,3,1,1,924,"2017-01-26","2017-02-21"
427,142,12,1,1,140,"2018-07-05","2018-07-07"
428,153,4,1,1,839,"2018-03-15","2018-03-27"
429,139,14,5,1,619,"2016-09-02","2016-09-30"
430,343,12,2,1,501,"2018-01-22","2018-02-06"
431,373,9,5,1,694,"2017-08-25","2017-08-28"
432,478,1,1,1,376,"2016-02-28","2016-03-10"
433,342,13,5,1,853,"2016-01-06","2016-01-14"
434,274,12,1,1,120,"2015-07-02","2015-07-05"
435,383,4,2,1,472,"2015-02-09","2015-03-08"
436,417,7,3,1,172,"2015-10-22","2015-10-23"
437,20,12,5,1,705,"2016-12-31","2017-01-21"
438,195,13,3,1,450,"2016-01-15","2016-01-15"
439,24,2,4,1,506,"2016-07-20","2016-08-19"
440,247,16,5,1,62,"2018-07-29","2018-08-05"
441,106,8,3,1,105,"2016-07-11","2016-08-02"
442,99,5,2,1,539,"2017-03-26","2017-04-18"
443,488,13,5,1,356,"2017-09-23","2017-10-07"
444,195,16,1,1,423,"2017-12-23","2018-01-05"
445,447,2,5,1,494,"2016-06-30","2016-06-30"
446,138,2,3,1,622,"2018-09-13","2018-09-22"
447,96,13,3,1,649,"2016-07-23","2016-08-21"
448,324,5,5,1,365,"2016-01-05","2016-01-24"
449,210,16,5,1,37,"2015-08-11","2015-09-10"
450,181,9,1,1,281,"2018-03-21","2018-04-19"
451,187,7,1,1,109,"2016-05-29","2016-06-18"
452,449,1,3,1,909,"2016-04-26","2016-05-14"
453,317,12,3,1,452,"2015-06-04","2015-07-04"
454,64,5,2,1,490,"2018-01-15","2018-02-13"
455,261,3,2,1,189,"2017-11-16","2017-11-20"
456,6,15,1,1,214,"2015-11-19","2015-11-27"
457,56,5,2,1,404,"2018-08-09","2018-08-14"
458,477,15,2,1,756,"2018-04-05","2018-04-28"
459,399,8,1,1,385,"2016-06-05","2016-06-05"
460,130,13,3,1,593,"2017-05-08","2017-06-04"
461,254,1,2,1,871,"2015-09-08","2015-09-13"
462,191,15,1,1,118,"2017-04-24","2017-05-01"
463,245,6,3,1,802,"2016-07-14","2016-08-13"
464,292,2,4,1,484,"2015-03-30","2015-04-18"
465,88,5,4,1,851,"2016-05-25","2016-06-25"
466,428,13,4,1,652,"2018-07-23","2018-08-07"
467,34,6,5,1,234,"2017-10-25","2017-11-12"
468,452,2,3,1,529,"2015-03-02","2015-03-09"
469,121,1,5,1,72,"2018-05-04","2018-05-05"
470,46,16,4,1,826,"2017-05-22","2017-06-15"
471,222,15,3,1,74,"2018-05-24","2018-06-04"
472,81,4,1,1,55,"2016-08-19","2016-08-20"
473,13,12,5,1,681,"2015-09-11","2015-09-22"
474,1,4,5,1,591,"2016-05-23","2016-06-04"
475,217,4,2,1,862,"2016-06-24","2016-07-03"
476,146,16,5,1,712,"2015-06-27","2015-07-27"
477,15,13,1,1,669,"2018-03-01","2018-03-16"
478,94,2,2,1,320,"2015-02-28","2015-03-14"
479,191,9,4,1,590,"2018-08-02","2018-08-19"
480,395,15,2,1,50,"2017-05-26","2017-06-03"
481,481,11,5,1,406,"2017-07-28","2017-08-01"
482,482,16,2,1,843,"2016-11-02","2016-11-16"
483,425,9,3,1,431,"2017-09-19","2017-09-25"
484,87,6,1,1,348,"2015-07-11","2015-08-05"
485,99,11,3,1,177,"2017-12-16","2017-12-22"
486,3,3,1,1,463,"2016-04-13","2016-04-21"
487,312,4,4,1,653,"2017-01-10","2017-01-16"
488,27,16,2,1,809,"2015-09-23","2015-09-29"
489,226,6,5,1,132,"2018-02-10","2018-03-10"
490,87,6,1,1,524,"2015-05-22","2015-06-11"
491,209,4,2,1,904,"2015-08-28","2015-09-24"
492,250,6,4,1,777,"2017-03-07","2017-03-07"
493,113,12,4,1,54,"2016-11-07","2016-11-30"
494,93,2,5,1,872,"2016-03-01","2016-03-09"
495,211,5,4,1,8,"2015-06-02","2015-06-07"
496,495,8,3,1,540,"2015-10-24","2015-11-09"
