"service_order_id","service_id","reservation_id"
427,2,3337
428,11,10678
429,10,24068
430,9,12633
431,3,4277
432,4,17069
433,5,20168
434,6,23704
435,6,14370
436,11,2994
437,9,24783
438,7,21056
439,10,11277
440,1,14489
441,10,18878
442,9,23546
443,9,5418
444,4,15150
445,11,9231
446,4,676
447,7,5567
448,8,13330
449,2,5969
450,1,22817
451,8,3865
452,11,15616
453,2,11852
454,11,9976
455,4,3608
456,6,8296
457,7,21974
458,4,2869
459,9,152
460,3,21654
461,2,21096
462,11,7459
463,4,19033
464,4,3201
465,7,3229
466,8,5189
467,4,11939
468,5,19849
469,9,4887
470,3,9296
471,7,15551
472,1,13066
473,2,14101
474,1,9792
475,3,11450
476,2,3336
477,5,9714
478,3,8091
479,4,22932
480,9,17684
481,8,17440
482,4,16658
483,10,23074
484,8,17902
485,11,13438
486,5,21759
487,3,18174
488,1,24456
489,6,7013
490,10,23057
491,10,1251
492,1,8849
493,2,8602
494,9,2380
495,5,20346
496,10,24321
497,5,10635
498,2,18726
499,2,398
500,6,6425
501,3,11468
502,11,1277
503,5,17597
504,2,4279
505,5,18753
506,4,16889
507,1,4690
508,8,21755
509,3,960
510,7,24161
511,11,7013
512,9,21210
513,9,18270
514,2,5237
515,4,5753
516,3,7958
517,10,22490
518,4,4065
519,3,24906
520,9,3469
521,10,3806
522,8,10069
523,3,23427
524,3,4419
525,3,16164
526,3,481
527,2,15651
528,5,4971
529,6,15926
530,1,7056
531,2,22225
532,5,17539
533,8,19994
534,3,19288
535,2,10495
536,8,15848
537,1,8300
538,2,22529
539,1,22108
540,10,175
541,2,9246
542,2,1497
543,9,21364
544,11,13132
545,8,11826
546,4,8755
547,10,21977
548,1,9003
549,1,874
550,1,9869
551,4,15540
552,8,6122
553,11,10047
554,8,4241
555,5,17249
556,2,4095
557,5,3657
558,1,4431
559,9,23413
560,9,19038
561,9,23099
562,5,12958
563,7,15849
564,4,18371
565,3,20272
566,11,19299
567,7,6769
568,4,19326
569,11,17141
570,4,17056
571,9,1895
572,4,10351
573,11,17351
574,8,291
575,11,8383
576,3,9092
577,1,16093
578,2,11573
579,5,3952
580,10,17482
581,7,16220
582,7,5073
583,11,12687
584,3,21743
585,11,19534
586,6,21496
587,2,21674
588,3,1623
589,9,9408
590,10,19670
591,2,7671
592,8,7625
593,3,21142
594,7,13326
595,2,23104
596,2,7200
597,9,2024
598,5,16349
599,5,258
600,2,17463
601,10,7480
602,7,179
603,9,17791
604,6,8915
605,3,15573
606,6,2136
607,4,20119
608,1,1167
609,5,1186
610,11,17598
611,3,2072
612,11,4841
613,7,1068
614,1,3068
615,10,4172
616,10,20514
617,8,15353
618,2,10337
619,8,1795
620,8,9310
621,6,17206
622,8,24340
623,3,4455
624,7,767
625,3,14956
626,10,2497
627,11,8380
628,8,3552
629,4,16124
630,2,22023
631,1,22032
632,7,8283
633,11,19639
634,2,24085
635,11,3065
636,3,4564
637,4,3218
638,6,5589
639,5,11617
640,1,4873
641,10,9639
642,10,23399
643,1,12542
644,6,22416
645,7,12303
646,9,7611
647,7,22946
648,10,5264
649,3,17992
650,1,12267
651,1,17725
652,11,7678
653,3,22550
654,9,8669
655,1,2855
656,5,21152
657,10,5550
658,2,15408
659,2,993
660,6,5352
661,3,15408
662,6,5447
663,7,3824
664,9,10833
665,4,19291
666,11,16741
667,7,568
668,9,10672
669,2,2858
670,10,23446
671,8,24699
672,1,5962
673,7,15275
674,5,2816
675,9,18642
676,11,8870
677,9,17716
678,11,3813
679,8,1196
680,3,19653
681,7,18593
682,3,16996
683,7,7607
684,7,21083
685,9,1019
686,4,23300
687,10,10386
688,4,2745
689,10,16131
690,6,8737
691,11,7091
692,6,18639
693,8,7522
694,3,729
695,6,14669
696,4,958
697,2,2091
698,7,12140
699,9,16073
700,9,23059
701,11,9001
702,7,60
703,10,16106
704,10,19208
705,2,3078
706,6,21559
707,9,4170
708,8,22123
709,2,12219
710,3,17770
711,8,18467
712,8,7833
713,2,20332
714,6,14089
715,7,2815
716,7,14251
717,4,1391
718,10,1498
719,6,1441
720,6,18540
721,1,11558
722,4,20481
723,10,21913
724,10,24846
725,2,8863
726,2,23945
727,3,15488
728,8,8392
729,5,19674
730,5,7253
731,1,6622
732,7,10731
733,5,14839
734,10,9081
735,2,2923
736,11,15810
737,5,9386
738,9,2327
739,11,20602
740,2,16137
741,5,18460
742,3,16762
743,2,18963
744,9,11520
745,8,5518
746,1,17734
747,10,13802
748,11,21041
749,1,5814
750,10,8878
751,5,1961
752,10,11522
753,2,24305
754,9,5123
755,10,5228
756,11,22244
757,11,22405
758,9,8384
759,3,12401
760,10,9614
761,3,10193
762,5,10460
763,8,17436
764,9,3868
765,10,18742
766,4,1062
767,1,23968
768,10,20337
769,2,13751
770,2,20303
771,9,8544
772,6,11454
773,11,4036
774,7,14504
775,11,5163
776,4,13708
777,6,12570
778,1,24589
779,3,24091
780,8,12276
781,3,9541
782,2,3355
783,11,2308
784,7,11175
785,5,24818
786,3,14468
787,9,1267
788,1,2802
789,11,8639
790,10,24889
791,9,10800
792,6,2407
793,11,566
794,2,11350
795,11,6929
796,2,16940
797,7,23919
798,8,3556
799,8,5233
800,11,23227
801,1,11608
802,10,652
803,6,8100
804,8,4639
805,2,815
806,2,19191
807,7,18392
808,11,24252
809,6,13902
810,2,17264
811,1,13343
812,11,3376
813,8,8991
814,11,22390
815,9,17153
816,8,9761
817,7,434
818,9,3920
819,4,23859
820,8,6135
821,6,5070
822,5,20545
823,7,16671
824,5,22160
825,6,23049
826,1,19433
827,10,8213
828,9,22168
829,6,13378
830,9,3648
831,3,21289
832,4,4248
833,11,16777
834,6,21828
835,9,11195
836,10,21936
837,3,21017
838,9,21905
839,8,20373
840,4,6709
841,2,24024
842,8,7392
843,7,2153
844,3,14514
845,7,12471
846,8,22941
847,10,1584
848,4,4055
849,10,24872
850,2,24467
851,2,22435
852,7,21091
853,7,13849
854,1,3766
855,7,9700
856,10,1875
857,1,10251
858,3,24070
859,4,13768
860,6,15727
861,2,4519
862,8,13502
863,7,24046
864,10,24641
865,4,7327
866,3,20456
867,2,9668
868,2,23860
869,6,4406
870,4,2004
871,7,8236
872,6,17404
873,9,3580
874,11,3971
875,11,5330
876,10,20188
877,2,19387
878,1,21073
879,8,17240
880,8,21727
881,1,22549
882,8,12141
883,2,24089
884,4,22909
885,6,7073
886,8,20148
887,5,24952
888,10,889
889,2,18282
890,7,22542
891,9,18433
892,3,11513
893,8,1016
894,1,21681
895,11,5846
896,4,8142
897,2,23340
898,9,1553
899,5,22305
900,10,12689
901,2,23274
902,11,4533
903,2,19435
904,10,6768
905,1,329
906,11,23736
907,6,13719
908,6,14470
909,10,474
910,9,24391
911,8,6849
912,4,12445
913,6,9901
914,10,22153
915,4,14992
916,3,15755
917,9,20781
918,8,15212
919,1,13837
920,9,986
921,1,23751
922,6,12878
923,10,1035
924,9,4118
925,1,8883
926,4,24309
927,7,22627
928,4,16241
929,4,14506
930,10,16900
931,2,13493
932,8,18903
933,3,8022
934,7,3501
935,9,2809
936,3,23706
937,11,15391
938,11,3368
939,5,12604
940,9,11905
941,4,1822
942,3,15588
943,3,9362
944,1,16582
945,11,22919
946,7,17256
947,7,22725
948,9,7040
949,8,12369
950,6,313
951,9,16739
952,9,2663
953,7,18265
954,6,7684
955,1,23208
956,7,19339
957,1,9617
958,4,22805
959,1,20936
960,2,15930
961,2,15113
962,1,17302
963,6,20167
964,8,23372
965,3,15441
966,3,922
967,11,11389
968,8,8059
969,6,6574
970,1,10208
971,9,23350
972,1,4978
973,9,3056
974,3,22539
975,10,23825
976,8,9348
977,9,7448
978,4,6404
979,8,11802
980,3,3758
981,10,11145
982,11,5726
983,1,337
984,8,345
985,7,13421
986,7,23773
987,5,5528
988,6,20867
989,3,5702
990,8,18835
991,7,6364
992,11,20468
993,9,23484
994,3,22728
995,1,5918
996,7,15153
997,10,11164
998,4,8203
999,9,20473
1000,2,2399
1001,5,2405
1002,5,2296
1003,9,15886
1004,9,15442
1005,3,11257
1006,5,12538
1007,7,7565
1008,4,545
1009,10,11326
1010,2,1804
1011,7,4039
1012,8,24632
1013,7,22236
1014,8,22336
1015,11,3507
1016,3,10693
1017,9,10727
1018,2,15905
1019,8,17718
1020,3,14283
1021,2,1170
1022,11,7117
1023,6,18915
1024,5,2299
1025,2,20153
1026,10,21084
1027,6,3038
1028,6,7059
1029,1,13725
1030,7,18617
1031,8,9382
1032,10,2632
1033,9,7464
1034,3,19970
1035,8,642
1036,2,11976
1037,2,23118
1038,5,8402
1039,3,20746
1040,4,13594
1041,9,11453
1042,8,13274
1043,2,8712
1044,5,11379
1045,8,8804
1046,7,1273
1047,2,872
1048,10,19214
1049,7,3527
1050,4,4657
1051,11,15728
1052,1,19631
1053,5,2092
1054,4,4796
1055,2,15829
1056,2,13338
1057,3,13698
1058,6,16331
1059,5,10790
1060,1,20265
1061,2,13444
1062,7,16756
1063,6,7044
1064,4,14603
1065,9,9431
1066,5,1662
1067,11,10746
1068,9,181
1069,5,2166
1070,8,20235
1071,10,3091
1072,10,10855
1073,4,4371
1074,4,22080
1075,6,4935
1076,5,9935
1077,7,20614
1078,3,12239
1079,7,19370
1080,1,17245
1081,9,6249
1082,2,22387
1083,4,3361
1084,6,20327
1085,9,10613
1086,4,22253
1087,3,8399
1088,5,18306
1089,2,23820
1090,10,19857
1091,10,1810
1092,4,6719
1093,2,21564
1094,8,2021
1095,8,23613
1096,2,22341
1097,5,10054
1098,7,6535
1099,9,24034
1100,11,1725
1101,6,9951
1102,9,6933
1103,6,21451
1104,7,24864
1105,10,19086
1106,3,17142
1107,3,1655
1108,3,23566
1109,6,4729
1110,4,23453
1111,7,12352
1112,11,18419
1113,3,22668
1114,2,7795
1115,2,23885
1116,3,17774
1117,11,7203
1118,9,18282
1119,8,14171
1120,10,10273
1121,11,430
1122,3,2011
1123,8,16317
1124,7,19185
1125,5,7209
1126,6,21601
1127,4,13741
1128,6,4566
1129,1,15858
1130,3,20948
1131,10,1676
1132,3,9770
1133,6,22955
1134,4,3631
1135,10,8165
1136,1,2098
1137,11,2303
1138,1,22427
1139,2,16139
1140,1,6137
1141,5,16181
1142,11,2678
1143,11,8274
1144,1,10269
1145,3,18115
1146,9,19030
1147,10,6890
1148,4,3683
1149,9,14694
1150,2,11023
1151,9,17604
1152,7,7825
1153,4,15749
1154,3,19183
1155,3,10795
1156,1,145
1157,4,13166
1158,2,19893
1159,2,6295
1160,4,11580
1161,8,12362
1162,4,7996
1163,2,9921
1164,7,12591
1165,8,8846
1166,7,15518
1167,10,10814
1168,3,4178
1169,8,19421
1170,6,2719
1171,5,1106
1172,6,22803
1173,2,18405
1174,3,5826
1175,7,3577
1176,3,496
1177,8,4756
1178,10,16876
1179,2,12228
1180,5,11604
1181,9,8576
1182,6,19045
1183,6,12777
1184,1,14571
1185,7,6469
1186,7,14815
1187,9,17823
1188,9,14885
1189,9,24645
1190,7,3071
1191,9,12567
1192,8,17718
1193,10,2738
1194,10,4264
1195,3,20509
1196,2,13197
1197,10,19834
1198,3,8164
1199,6,10319
1200,1,13525
1201,5,16550
1202,10,3493
1203,9,23387
1204,11,15954
1205,1,12255
1206,1,6960
1207,4,19305
1208,4,5849
1209,2,6951
1210,5,4883
1211,7,887
1212,11,15485
1213,5,24749
1214,4,8864
1215,8,9656
1216,3,5763
1217,2,12348
1218,6,11149
1219,5,19572
1220,10,20739
1221,2,10803
1222,11,17386
1223,4,390
1224,1,20663
1225,8,19789
1226,9,8430
1227,4,7134
1228,6,7938
1229,7,6595
1230,9,1203
1231,6,1629
1232,11,4704
1233,3,17879
1234,10,4718
1235,8,13314
1236,9,10028
1237,5,10732
1238,10,8486
1239,11,4931
1240,3,6786
1241,11,9250
1242,9,15386
1243,11,17992
1244,3,5975
1245,8,230
1246,9,20116
1247,9,2607
1248,9,8501
1249,4,14666
1250,3,14096
1251,5,30
1252,6,6647
1253,1,1103
1254,3,8369
1255,2,5822
1256,5,23430
1257,3,12679
1258,4,21255
1259,9,13125
1260,7,17153
1261,10,8546
1262,5,5976
1263,2,18500
1264,7,12786
1265,11,19738
1266,7,87
1267,6,6101
1268,10,23651
1269,1,16695
1270,4,20901
1271,3,6000
1272,7,15046
1273,6,2112
1274,10,20759
1275,2,11191
1276,5,6339
1277,1,16703
1278,9,10408
1279,6,12217
1280,4,4521
1281,2,15699
1282,1,3790
1283,2,5950
1284,4,11455
1285,4,18975
1286,9,4517
1287,1,22216
1288,7,18268
1289,9,398
1290,4,19746
1291,8,17556
1292,1,8654
1293,6,8378
1294,4,15515
1295,1,7501
1296,3,11709
1297,7,1309
1298,6,1867
1299,11,23165
1300,3,16404
1301,5,23720
1302,9,10461
1303,11,16177
1304,1,22358
1305,8,21548
1306,7,2965
1307,4,12333
1308,5,7019
1309,6,19191
1310,10,18009
1311,11,7224
1312,8,4581
1313,9,15574
1314,1,11420
1315,8,23530
1316,11,22717
1317,1,10310
1318,11,19551
1319,10,6401
1320,5,4878
1321,5,1758
1322,11,6516
1323,8,5643
1324,6,20317
1325,11,14015
1326,7,3304
1327,2,20356
1328,10,10439
1329,1,17925
1330,4,12152
1331,4,18374
1332,1,9369
1333,5,6508
1334,2,1399
1335,8,14381
1336,6,9319
1337,4,20115
1338,11,254
1339,1,6265
1340,10,6626
1341,1,9532
1342,11,1406
1343,7,4863
1344,9,6462
1345,9,12039
1346,5,13001
1347,1,8356
1348,10,8985
1349,8,17213
1350,6,14270
1351,10,1236
1352,8,15079
1353,5,2793
1354,11,10226
1355,2,9912
1356,3,3260
1357,3,14199
1358,9,10177
1359,3,20362
1360,8,23677
1361,6,14093
1362,10,10147
1363,9,22316
1364,3,17472
1365,2,12309
1366,2,4823
1367,6,18070
1368,11,5651
1369,1,5201
1370,10,16762
1371,6,1810
1372,11,23515
1373,5,6177
1374,5,5454
1375,2,301
1376,1,19689
1377,10,8421
1378,7,5109
1379,3,7084
1380,4,8112
1381,11,17606
1382,1,20370
1383,5,10308
1384,7,16773
1385,11,7961
1386,4,19914
1387,7,13698
1388,3,19640
1389,7,17032
1390,5,16714
1391,9,3418
1392,11,3592
1393,1,9327
1394,7,18092
1395,3,23345
1396,5,18058
1397,10,7327
1398,5,9238
1399,10,15624
1400,7,3795
1401,11,12752
1402,5,14203
1403,4,4116
1404,11,5213
1405,5,16067
1406,4,8547
1407,10,8469
1408,9,8211
1409,5,22074
1410,8,4281
1411,6,7400
1412,4,23680
1413,5,2401
1414,7,2530
1415,9,19751
1416,1,5184
1417,6,9506
1418,11,17296
1419,7,21376
1420,5,16688
1421,7,4362
1422,8,935
1423,8,13202
1424,7,91
1425,7,17438
1426,3,15958
1427,7,10440
1428,11,18913
1429,3,20035
1430,2,64
1431,9,23142
1432,9,7359
1433,4,9079
1434,1,22060
1435,5,9956
1436,2,398
1437,1,16430
1438,8,12001
1439,3,4327
1440,6,12102
1441,3,10521
1442,8,2612
1443,2,9095
1444,3,2580
1445,10,9132
1446,5,9393
1447,4,5651
1448,9,4583
1449,4,19123
1450,2,5088
1451,11,2310
1452,9,17095
1453,5,23066
1454,6,4516
1455,5,2365
1456,11,19215
1457,1,23709
1458,1,118
1459,7,12673
1460,10,24990
1461,8,2212
1462,2,21511
1463,2,8875
1464,3,16060
1465,11,14028
1466,3,19091
1467,5,19129
1468,10,2176
1469,7,22361
1470,2,1986
1471,2,4349
1472,6,13231
1473,7,2964
1474,1,16911
1475,3,10012
1476,3,20973
1477,4,13534
1478,10,11044
1479,9,10500
1480,1,7767
1481,3,20757
1482,5,1492
1483,11,847
1484,1,17989
1485,9,8573
1486,10,8876
1487,6,17549
1488,5,18339
1489,8,7713
1490,4,23329
1491,7,19354
1492,10,17191
1493,1,4295
1494,6,15514
1495,3,22119
1496,3,18656
1497,7,5743
1498,6,11287
1499,4,23364
1500,10,4457
1501,6,19668
1502,9,11315
1503,7,13293
1504,8,20154
1505,8,6405
1506,8,1972
1507,8,3454
1508,6,1013
1509,7,23014
1510,3,22429
1511,3,4176
1512,11,22910
1513,6,22159
1514,9,10456
1515,6,15365
1516,6,20214
1517,2,5376
1518,2,9954
1519,1,20138
1520,2,9198
1521,10,21163
1522,10,6731
1523,10,20068
1524,3,13587
1525,5,10281
1526,7,22640
1527,7,17278
1528,8,10335
1529,4,11069
1530,10,11504
1531,11,10430
1532,8,8854
1533,3,710
1534,8,24877
1535,7,583
1536,5,3980
1537,2,12855
1538,9,21327
1539,4,22049
1540,2,21543
1541,9,7345
1542,1,14928
1543,7,13205
1544,9,23821
1545,3,15502
1546,4,1565
1547,7,14417
1548,8,19868
1549,7,8292
1550,5,3144
1551,4,18155
1552,4,7279
1553,2,6392
1554,4,18016
1555,9,10088
1556,9,379
1557,8,21584
1558,1,7759
1559,1,16474
1560,6,17939
1561,1,21073
1562,3,19527
1563,3,21811
1564,5,16816
1565,10,3757
1566,5,3412
1567,6,17909
1568,5,23564
1569,6,16885
1570,3,10739
1571,7,4064
1572,1,3334
1573,10,16383
1574,9,9040
1575,7,15245
1576,9,24738
1577,11,3483
1578,1,2831
1579,11,5638
1580,7,21610
1581,5,6180
1582,2,3008
1583,2,14183
1584,9,21674
1585,8,12379
1586,9,4674
1587,7,8780
1588,7,707
1589,8,8231
1590,4,20194
1591,5,3445
1592,1,13855
1593,8,22072
1594,4,24417
1595,3,18677
1596,5,1744
1597,11,19298
1598,10,10705
1599,11,7246
1600,10,16742
1601,10,13704
1602,4,22872
1603,11,5390
1604,3,18725
1605,4,5807
1606,8,16380
1607,3,11730
1608,10,3076
1609,1,24097
1610,6,679
1611,10,22800
1612,5,14585
1613,4,2501
1614,11,21713
1615,5,24727
1616,7,21344
1617,2,867
1618,1,13037
1619,3,8533
1620,11,6819
1621,8,13190
1622,8,14920
1623,10,9786
1624,4,25000
1625,1,22432
1626,5,14554
1627,3,19629
1628,3,11061
1629,7,6648
1630,8,3223
1631,9,17418
1632,8,10007
1633,2,1213
1634,11,744
1635,11,18706
1636,11,23411
1637,4,20505
1638,6,23401
1639,6,18162
1640,10,10206
1641,11,8502
1642,5,20080
1643,10,17767
1644,8,19178
1645,2,11452
1646,2,14924
1647,9,17145
1648,2,3401
1649,1,3065
1650,11,7624
1651,5,21493
1652,10,18808
1653,2,10394
1654,6,1052
1655,4,21839
1656,10,8136
1657,9,1861
1658,8,8690
1659,10,15401
1660,3,17281
1661,8,12919
1662,1,2572
1663,5,6715
1664,6,24636
1665,11,15048
1666,9,10730
1667,6,8155
1668,6,4595
1669,2,3668
1670,2,3216
1671,11,22115
1672,10,2660
1673,5,10166
1674,1,17975
1675,4,12595
1676,1,17024
1677,5,5951
1678,8,23723
1679,7,24654
1680,4,21323
1681,4,22015
1682,7,24675
1683,2,16624
1684,9,4765
1685,8,23772
1686,1,19307
1687,2,8927
1688,5,14426
1689,1,4758
1690,4,8103
1691,1,20594
1692,10,14647
1693,2,478
1694,11,22016
1695,3,12383
1696,7,10479
1697,4,14578
1698,11,4801
1699,11,23503
1700,8,919
1701,9,19381
1702,3,1595
1703,2,11816
1704,11,7114
1705,6,2203
1706,8,11885
1707,11,8073
1708,2,1569
1709,11,3286
1710,1,9357
1711,11,299
1712,4,22622
1713,11,4240
1714,6,16906
1715,11,13040
1716,9,2724
1717,2,6891
1718,5,7232
1719,5,14054
1720,9,74
1721,5,5100
1722,11,4065
1723,6,11841
1724,7,5278
1725,6,15243
1726,10,2665
1727,1,19811
1728,3,5444
1729,2,4954
1730,1,2743
1731,3,14246
1732,9,9255
1733,9,17839
1734,3,13276
1735,9,2828
1736,4,8139
1737,1,10368
1738,5,2954
1739,10,23648
1740,1,8735
1741,11,16986
1742,3,24261
1743,8,15802
1744,10,4177
1745,1,17925
1746,7,9509
1747,8,11104
1748,9,24353
1749,7,5459
1750,3,17934
1751,2,9325
1752,9,75
1753,3,16688
1754,5,1208
1755,3,2517
1756,11,7431
1757,6,18506
1758,2,624
1759,6,1078
1760,11,11559
1761,8,12604
1762,10,12767
1763,9,1373
1764,5,4138
1765,6,10392
1766,4,1009
1767,6,15910
1768,5,5751
1769,9,16213
1770,2,3235
1771,8,24633
1772,1,12089
1773,3,7404
1774,4,21917
1775,6,11842
1776,4,7176
1777,10,7281
1778,7,4045
1779,8,8336
1780,5,12335
1781,7,7933
1782,8,4696
1783,2,12485
1784,5,2947
1785,3,12268
1786,10,18398
1787,2,20355
1788,9,13725
1789,2,23456
1790,6,10187
1791,6,10177
1792,6,8527
1793,9,20041
1794,11,12707
1795,11,14584
1796,11,6662
1797,11,9809
1798,8,21642
1799,7,12269
1800,7,20469
1801,10,13809
1802,10,20812
1803,7,6769
1804,6,8186
1805,7,22121
1806,6,13261
1807,1,19398
1808,2,6090
1809,11,9095
1810,4,5889
1811,6,6030
1812,4,19986
1813,1,8320
1814,9,12056
1815,6,230
1816,3,4759
1817,10,22422
1818,3,3099
1819,3,6609
1820,9,17275
1821,9,19584
1822,5,5335
1823,8,17957
1824,2,10400
1825,5,2662
1826,4,6262
1827,9,10834
1828,11,8847
1829,3,2466
1830,3,24487
1831,2,12700
1832,6,1546
1833,10,1554
1834,5,22504
1835,10,13230
1836,1,5389
1837,3,20614
1838,10,15932
1839,3,13643
1840,1,11456
1841,5,12177
1842,8,24233
1843,9,2974
1844,11,18890
1845,5,16240
1846,5,5765
1847,4,3933
1848,11,24925
1849,4,1731
1850,1,22484
1851,6,4859
1852,6,16271
1853,4,12858
1854,5,7586
1855,6,6625
1856,1,21504
1857,9,9418
1858,11,24977
1859,10,4585
1860,11,7453
1861,8,14886
1862,1,18978
1863,3,10967
1864,6,13667
1865,5,1256
1866,5,23815
1867,1,21525
1868,1,19047
1869,11,11546
1870,1,6816
1871,9,9649
1872,7,2232
1873,2,7123
1874,9,16962
1875,2,6744
1876,2,1154
1877,8,22035
1878,9,20372
1879,11,24301
1880,6,6594
